sample	before_filtering_total_reads	after_filtering_total_reads	non_rRNA	num_mapped	library_types	genome
batch1_SRR5146531_SRP096122-SRA520554	5121807	4859202	4591808	2896722	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146533_SRP096122-SRA520554	4571904	4342169	4242682	2653329	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146534_SRP096122-SRA520554	3236793	3076992	3020567	1834405	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146535_SRP096122-SRA520554	3728277	3535988	3408284	2111333	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146536_SRP096122-SRA520554	4505122	3972948	579416	397292	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146537_SRP096122-SRA520554	5507863	4983567	3267860	2287724	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146538_SRP096122-SRA520554	4439128	4005367	2566464	1779866	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146539_SRP096122-SRA520554	3122457	2822922	1890671	1304337	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146540_SRP096122-SRA520554	4942918	4468312	2455636	1766322	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146541_SRP096122-SRA520554	5369273	4844762	2886485	2079398	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146542_SRP096122-SRA520554	4002050	3625448	2651322	1601470	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146543_SRP096122-SRA520554	3893695	3504382	2022865	1322602	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146544_SRP096122-SRA520554	3503423	3139661	1476419	962774	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146545_SRP096122-SRA520554	5616159	5348938	5223479	2654237	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146546_SRP096122-SRA520554	6366581	6040220	5660940	2886705	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146547_SRP096122-SRA520554	4315001	4088829	3940525	2288293	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146548_SRP096122-SRA520554	14151773	13458678	12870805	6063528	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146549_SRP096122-SRA520554	4415391	4167053	3309817	1429437	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146550_SRP096122-SRA520554	3869588	3668254	3435844	1588654	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146551_SRP096122-SRA520554	2435611	2267239	1312436	157596	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146552_SRP096122-SRA520554	7132655	6579679	2132049	461476	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146553_SRP096122-SRA520554	5074737	4674254	881302	165428	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146554_SRP096122-SRA520554	4666827	4330606	1824412	396096	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146555_SRP096122-SRA520554	5330007	4946422	1220331	279257	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146556_SRP096122-SRA520554	4088601	3792927	2045149	388113	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146557_SRP096122-SRA520554	8277088	7705993	4673336	1027493	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146558_SRP096122-SRA520554	5501507	5113298	2928716	588842	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR5146559_SRP096122-SRA520554	7290106	6750990	1961135	418385	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647481_SRP156440-SRA753502	15309565	11541810	11526991	8356704	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647482_SRP156440-SRA753502	16079324	11912248	11888690	8497967	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647483_SRP156440-SRA753502	15077389	11199961	11184522	8007054	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647484_SRP156440-SRA753502	16684926	12665107	12647201	9105161	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647485_SRP156440-SRA753502	15503192	11710083	11687880	8099110	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647487_SRP156440-SRA753502	15103395	11328840	11311897	7657267	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647488_SRP156440-SRA753502	14849173	11280743	11261764	8133189	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647489_SRP156440-SRA753502	15179860	11502911	11476930	7684762	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR7647490_SRP156440-SRA753502	15218589	11537979	11507154	7925556	SR	Prochlorococcus.marinus.str.NATL2A_txid59920_SAMN00623057_Synechococcales
batch1_SRR1001850_SRP030395-SRA103947	13660580	13440210	1979515	1465786	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001851_SRP030395-SRA103947	12018370	11893008	1736033	1280483	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001852_SRP030395-SRA103947	11935064	11821373	1501392	1048145	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001853_SRP030395-SRA103947	14202263	14067843	2078198	1433891	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001854_SRP030395-SRA103947	11456135	11328980	1789607	1275960	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001855_SRP030395-SRA103947	12173405	12050804	1719311	1232188	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001856_SRP030395-SRA103947	9586421	9490738	930490	688006	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001857_SRP030395-SRA103947	11591498	11470570	1101204	814472	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001858_SRP030395-SRA103947	12656905	12537696	1150449	835831	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001859_SRP030395-SRA103947	11791911	11691601	922046	668688	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001860_SRP030395-SRA103947	10505596	10396011	913032	653007	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001861_SRP030395-SRA103947	11572325	11454088	962944	677937	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001862_SRP030395-SRA103947	10314218	10186618	1115358	836099	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001863_SRP030395-SRA103947	9545489	9448410	949891	708500	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001864_SRP030395-SRA103947	10394961	10256652	868780	660191	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001865_SRP030395-SRA103947	9956083	9852318	1122319	826688	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001866_SRP030395-SRA103947	12250324	12115754	1447158	1088982	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1001867_SRP030395-SRA103947	12167077	12030643	1306534	985112	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR1560890_SRP045863-SRA180531	1167972	1061397	920944	224508	SF	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538252_SRP378421-SRA1432278	7074859	6276614	6235070	2304222	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538253_SRP378421-SRA1432278	7090785	6296174	6236599	2115276	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538254_SRP378421-SRA1432278	7283463	6423878	6360420	2554350	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538255_SRP378421-SRA1432278	6655283	5843597	5819413	3461967	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538256_SRP378421-SRA1432278	7944482	6955174	6808877	4075127	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538257_SRP378421-SRA1432278	7589074	6628773	6601201	3091076	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538258_SRP378421-SRA1432278	7932133	6929639	6894769	3923256	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538259_SRP378421-SRA1432278	8835840	7732025	7644754	3824179	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538260_SRP378421-SRA1432278	7761056	6813137	6780932	3531942	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538261_SRP378421-SRA1432278	7045051	6139130	6096456	3705844	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538262_SRP378421-SRA1432278	6870817	5982536	5917273	3716168	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538263_SRP378421-SRA1432278	7187072	6250456	6210229	3823933	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538264_SRP378421-SRA1432278	6065989	5252529	5221415	3445950	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538265_SRP378421-SRA1432278	6894458	5968948	5928053	3791498	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538266_SRP378421-SRA1432278	6941341	5984599	5951838	3746019	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538267_SRP378421-SRA1432278	7036951	6125526	6068670	3221592	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538268_SRP378421-SRA1432278	7262567	6312043	6261851	4019204	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538269_SRP378421-SRA1432278	7202205	6309993	6281907	3872282	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538270_SRP378421-SRA1432278	7709268	6697793	6657952	4516577	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538271_SRP378421-SRA1432278	7240321	6275388	6241247	4147277	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR19538272_SRP378421-SRA1432278	6570183	5703846	5672964	3624451	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR208052_SRP006795-SRA036837	20441541	19370893	16132190	69563	SF	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR208053_SRP006795-SRA036837	20384186	19358231	16127259	69275	SF	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031863_SRP093663-SRA495832	10298512	9999502	1252064	752609	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031864_SRP093663-SRA495832	8726787	8461105	844546	490427	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031865_SRP093663-SRA495832	9922316	9631715	1066715	592192	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031866_SRP093663-SRA495832	11638212	11296860	1072981	505928	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031867_SRP093663-SRA495832	8493090	8237254	763750	323874	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031868_SRP093663-SRA495832	10900565	10578963	1100241	357828	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031869_SRP093663-SRA495832	10419250	10107109	1160637	291562	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031870_SRP093663-SRA495832	18382592	17861091	2009482	449283	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031871_SRP093663-SRA495832	13544128	13151402	1929688	385271	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031872_SRP093663-SRA495832	9558398	9172259	1151466	707521	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031873_SRP093663-SRA495832	12383206	11959070	1819212	1178927	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031874_SRP093663-SRA495832	11502466	11157146	1592558	994659	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031875_SRP093663-SRA495832	11375156	10888500	1583915	1071892	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031876_SRP093663-SRA495832	11218501	10747341	1278137	865245	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031877_SRP093663-SRA495832	14299063	13670873	1602319	1055193	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031878_SRP093663-SRA495832	11509315	11012958	1211705	764084	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031879_SRP093663-SRA495832	13139020	12599515	1317234	781013	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031880_SRP093663-SRA495832	15189499	14576908	1532406	747486	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031881_SRP093663-SRA495832	12104059	11592972	1198302	399075	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031882_SRP093663-SRA495832	12868733	12324622	1153743	328250	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031883_SRP093663-SRA495832	13811308	13168005	1440070	417316	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031884_SRP093663-SRA495832	16305249	15576380	1742912	1034382	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031885_SRP093663-SRA495832	15476359	14763364	1901122	1226848	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR5031886_SRP093663-SRA495832	10717554	10269971	1353250	837305	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004392_SRP117070-SRA605278	14911780	14521533	13884259	8113998	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004393_SRP117070-SRA605278	18769338	18333865	17744684	10513625	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004394_SRP117070-SRA605278	16627313	16174908	14277754	8916805	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004395_SRP117070-SRA605278	10827488	10545290	9886712	6064503	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004396_SRP117070-SRA605278	12286581	11961100	11336416	7553303	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004397_SRP117070-SRA605278	13874664	13455705	12376808	8530592	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004398_SRP117070-SRA605278	16938257	16398275	15064170	10320957	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004399_SRP117070-SRA605278	16587665	16200457	10315031	7224171	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004402_SRP117071-SRA605279	18128276	17488964	12798366	8572686	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004403_SRP117071-SRA605279	21252494	20601741	19018175	13028983	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004404_SRP117071-SRA605279	17171120	16582205	14505328	10000584	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004405_SRP117071-SRA605279	19459621	18881721	14977780	10117037	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004406_SRP117071-SRA605279	16040799	15534392	14791517	10814576	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004407_SRP117071-SRA605279	17278594	16747165	14107163	9974531	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004408_SRP117071-SRA605279	13327653	12971546	12363515	8949272	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6004409_SRP117071-SRA605279	17028987	16479394	15667072	10944406	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021718_SRP117169-SRA606632	9648458	9216110	9111118	4282686	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021719_SRP117169-SRA606632	13333991	12713874	12544418	5901483	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021720_SRP117169-SRA606632	15104219	14538050	14309133	5998888	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021721_SRP117169-SRA606632	16923984	16127710	15582814	8214889	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021722_SRP117169-SRA606632	14040791	13475435	12932480	6940154	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6021723_SRP117169-SRA606632	13107597	12564308	12285869	5735497	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026319_SRP117265-SRA607160	16703814	16267151	16128122	7652866	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026320_SRP117265-SRA607160	15219015	14826546	14738752	7148948	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026321_SRP117265-SRA607160	10893187	10618505	10528880	4714995	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026322_SRP117265-SRA607160	17146733	16677148	16488623	6623411	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026323_SRP117265-SRA607160	14669490	14256546	14159096	4613045	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026324_SRP117265-SRA607160	16892576	16466187	16311679	4684129	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026325_SRP117265-SRA607160	12604460	12203967	12111585	2787685	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026326_SRP117265-SRA607160	12288862	11958205	11852826	2336690	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026327_SRP117265-SRA607160	15394420	14739217	14572740	2578135	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026328_SRP117265-SRA607160	10865195	10616411	10176841	6996963	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026329_SRP117265-SRA607160	15708983	15336332	14763296	10206713	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026330_SRP117265-SRA607160	11620415	11265697	10920299	7368082	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026331_SRP117265-SRA607160	10028620	9746565	9487774	5996304	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026332_SRP117265-SRA607160	13707700	13327112	12911507	7409985	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026333_SRP117265-SRA607160	17654626	17165597	16508750	9382256	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026334_SRP117265-SRA607160	13894197	13569313	12312981	6119767	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026335_SRP117265-SRA607160	21507478	20919645	18420712	7660639	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026336_SRP117265-SRA607160	15363622	15023677	6551235	2045488	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026337_SRP117265-SRA607160	9024779	8889674	8771737	5179170	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026338_SRP117265-SRA607160	8272300	8144921	7854809	4241120	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026339_SRP117265-SRA607160	9228198	9104919	8959102	4410886	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026340_SRP117265-SRA607160	9039329	8777449	8608959	3862098	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026341_SRP117265-SRA607160	7662295	7490049	7366898	2570256	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026342_SRP117265-SRA607160	7920633	7820316	7608913	2102545	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026343_SRP117265-SRA607160	11945294	11710949	11389317	2516125	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026344_SRP117265-SRA607160	10630626	10481833	10339329	2342724	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026345_SRP117265-SRA607160	7894546	7749102	4919024	1234175	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026346_SRP117265-SRA607160	10435731	9911790	9763621	6841447	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026347_SRP117265-SRA607160	12815102	12082375	11911534	8166774	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026348_SRP117265-SRA607160	11416675	10841342	10696469	7146222	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026349_SRP117265-SRA607160	21721649	20709026	20029384	11983194	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026350_SRP117265-SRA607160	14015397	12960047	12714403	7790403	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026351_SRP117265-SRA607160	23072779	21851471	21109099	12083232	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026352_SRP117265-SRA607160	12664906	11991518	11719911	6401967	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026353_SRP117265-SRA607160	12438694	11892896	11607413	5221818	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
batch1_SRR6026354_SRP117265-SRA607160	13774421	13198135	12304124	3614640	SR	Synechococcus.elongatus.PCC.7942.FACHB.805_txid1140_SAMN02598254_Synechococcales
